symbol,crc,provider_kind,provider_modules,provider_module_count,consumer_modules,consumer_module_count,import_record_count,in_kernel_base,in_kernel_mtk,in_kernel_nothing,in_device_base,in_device_mtk,in_device_mtk_union,in_kernel_nothing_union,in_any_published_nothing_list,required_stock_crc,exact_gki_crc,exact_gki_crc_status
__crypto_memneq,0x5a44f8cb,KERNEL_OR_BUILTIN,,0,bluetooth;mac80211,2,3,0,1,0,0,0,0,1,1,0x5a44f8cb,0x5a44f8cb,MATCH
__crypto_xor,0xa3f12f69,KERNEL_OR_BUILTIN,,0,mac80211,1,1,0,1,0,0,0,0,1,1,0xa3f12f69,0xa3f12f69,MATCH
__dev_change_net_namespace,0x80432a75,KERNEL_OR_BUILTIN,,0,cfg80211;ieee802154,2,2,0,1,0,0,0,0,1,1,0x80432a75,0x80432a75,MATCH
__dev_get_by_index,0xecfcb475,KERNEL_OR_BUILTIN,,0,8021q;can_gw;cfg80211;ieee802154;tipc,5,5,0,1,0,0,0,0,1,1,0xecfcb475,0xecfcb475,MATCH
__dev_get_by_name,0xd26df809,KERNEL_OR_BUILTIN,,0,8021q,1,1,0,1,0,0,0,0,1,1,0xd26df809,0xd26df809,MATCH
__dev_kfree_skb_any,0x28b967c1,KERNEL_OR_BUILTIN,,0,aqc111;asix;ax88179_178a;can_dev;ccci_dpmaif;ccci_md_all;cdc_eem;cdc_ncm;mac80211;mac802154;mtk_u_ether;mtk_usb_f_rndis;r8152;usbnet;wlan_drv_gen4m_6878,15,15,0,1,0,0,1,1,1,1,0x28b967c1,0x28b967c1,MATCH
__dev_kfree_skb_irq,0xad728207,KERNEL_OR_BUILTIN,,0,bluetooth;hci_uart;rfcomm;rtl8150,4,5,0,1,0,0,0,0,1,1,0xad728207,0xad728207,MATCH
__dev_queue_xmit,0xf4b25665,KERNEL_OR_BUILTIN,,0,8021q;can;ieee802154_6lowpan;ieee802154_socket;mac80211;tipc,6,6,0,1,0,0,0,0,1,1,0xf4b25665,0xf4b25665,MATCH
__device_reset,0x4cc911be,KERNEL_OR_BUILTIN,,0,xhci_mtk_hcd_v2,1,1,0,1,0,0,0,0,1,1,0x4cc911be,0x4cc911be,MATCH
__devm_alloc_percpu,0xafc0a60c,KERNEL_OR_BUILTIN,,0,gz_trusty_mod,1,1,0,1,0,0,1,1,1,1,0xafc0a60c,0xafc0a60c,MATCH
__devm_iio_device_register,0x7930d674,KERNEL_OR_BUILTIN,,0,mt6375_adc;mt6375_auxadc;mtk_spmi_pmic_adc,3,3,0,1,0,0,1,1,1,1,0x7930d674,0x7930d674,MATCH
__devm_of_phy_provider_register,0x041c29ed,KERNEL_OR_BUILTIN,,0,mediatek_drm;phy_mtk_ufs;phy_mtk_xsphy,3,3,0,1,0,0,1,1,1,1,0x041c29ed,0x041c29ed,MATCH
__devm_regmap_init,0x78d75b61,KERNEL_OR_BUILTIN,,0,mt6375;mtk_pmic_wrap;rt5133_regulator,3,3,0,1,0,0,1,1,1,1,0x78d75b61,0x78d75b61,MATCH
__devm_regmap_init_i2c,0x1bab1211,KERNEL_OR_BUILTIN,,0,aw36515;aw36518;aw36518_v2;leds_rgb_aw2013;mt6338_core;rt6160_regulator;sc851x_charger;sc8571_charger;snd_soc_tfa98xx,9,9,0,1,0,0,1,1,1,1,0x1bab1211,0x1bab1211,MATCH
__devm_regmap_init_mmio_clk,0x6820f16e,KERNEL_OR_BUILTIN,,0,snd_soc_mt6878_afe,1,1,0,1,0,0,1,1,1,1,0x6820f16e,0x6820f16e,MATCH
__devm_regmap_init_spmi_ext,0x1ca87cdd,KERNEL_OR_BUILTIN,,0,mt6685_core;mtk_spmi_pmic,2,2,0,1,0,0,0,0,1,1,0x1ca87cdd,0x1ca87cdd,MATCH
__devm_reset_control_get,0xb86f1eec,KERNEL_OR_BUILTIN,,0,mtk_mmc;mtk_pmic_wrap;soc_temp_lvts;ufs_mediatek_mod,4,4,0,1,0,0,1,1,1,1,0xb86f1eec,0xb86f1eec,MATCH
__devm_rtc_register_device,0x4a3b3586,KERNEL_OR_BUILTIN,,0,rtc_mt6685,1,1,0,1,0,0,1,1,1,1,0x4a3b3586,0x4a3b3586,MATCH
__devres_alloc_node,0xb77e7bf8,KERNEL_OR_BUILTIN,,0,extdev_io_class;kfifo_buf;reboot_mode,3,3,0,1,0,0,1,1,1,1,0xb77e7bf8,0xb77e7bf8,MATCH
