relocation_section	offset	type	target_addend	owning_function
.rela.text	0x764	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x770	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x77c	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x788	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x794	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x7a0	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x7ac	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x7b8	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x7c4	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x7cc	R_AARCH64_CALL26	tiny2c_usb_read_chipid + 0	tiny2c_usb_i2c_probe
.rela.text	0x7d4	R_AARCH64_LDST32_ABS_LO12_NC	.bss + 0	tiny2c_usb_i2c_probe
.rela.text	0x7d8	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 11d	tiny2c_usb_i2c_probe
.rela.text	0x7dc	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 11d	tiny2c_usb_i2c_probe
.rela.text	0x7e0	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 4cb	tiny2c_usb_i2c_probe
.rela.text	0x7e4	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 4cb	tiny2c_usb_i2c_probe
.rela.text	0x7ec	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_i2c_probe
.rela.text	0x7f0	R_AARCH64_LDST32_ABS_LO12_NC	.bss + 0	tiny2c_usb_i2c_probe
.rela.text	0x808	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x814	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x820	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x82c	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x838	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x844	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x850	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x85c	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x868	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x874	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x878	R_AARCH64_LDST32_ABS_LO12_NC	.bss + 0	tiny2c_usb_i2c_probe
.rela.text	0x880	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 217	tiny2c_usb_i2c_probe
.rela.text	0x884	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 217	tiny2c_usb_i2c_probe
.rela.text	0x888	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_i2c_probe
.rela.text	0x8ac	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 48e	tiny2c_usb_i2c_remove
.rela.text	0x8b0	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 48e	tiny2c_usb_i2c_remove
.rela.text	0x8b4	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 409	tiny2c_usb_i2c_remove
.rela.text	0x8b8	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 409	tiny2c_usb_i2c_remove
.rela.text	0x8bc	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_i2c_remove
