file_offset	string
0x1f20b	(*+ !
0x21279	.note.gnu.property
0x2128c	.note.Linux
0x21298	.rela.exit.text
0x212a8	.rela.init.text
0x212b8	.hyp.text
0x212c2	.rela.text
0x212cd	.comment
0x212d6	.init.plt
0x212e0	.hyp.bss
0x212e9	__versions
0x212f4	__ksymtab_strings
0x21306	.modinfo
0x2130f	.rela___ksymtab+tiny_tp_power_contorl
0x21335	.note.GNU-stack
0x21345	.llvm_addrsig
0x21353	.text.ftrace_trampoline
0x2136b	.init.eh_frame
0x2137a	.rela.eh_frame
0x21389	.rela.gnu.linkonce.this_module
0x213a8	.note.gnu.build-id
0x213bb	.shstrtab
0x213c5	.strtab
0x213cd	__ksymtab
0x213d7	.symtab
0x213df	__kcrctab
0x213e9	.hyp.rodata
0x213f5	.rela.exit.data
0x21405	.rela.init.data
0x21415	.hyp.data
0x2141f	.rela.data
0x2142a	.rodata.str1.1
0x2143a	of_find_property
0x2144b	input_set_capability
0x21460	hyn_gesture_recovery
0x21475	memcpy
0x2147c	hyn_create_sysfs.__key
0x21493	of_property_read_variable_u32_array
0x214b7	__const_udelay
0x214c6	g_device_mutex
0x214d5	hyn_find_fw_idx
0x214e5	hyntpfactorytest_show
0x214fb	hyn_tpfwver_show
0x2150c	hyn_fwupgradeapp_show
0x21522	hyn_tprwreg_show
0x21533	hyn_gesture_buf_show
0x21548	hyn_fwupdate_show
0x2155a	hyn_gesture_show
0x2156b	cst8xx_fw
0x21575	cst816t_fw
0x21580	hyn_boot_update_fw
0x21593	gpiod_direction_output_raw
0x215ae	gpiod_direction_input
0x215c4	gpio_request
0x215d1	dev_attr_hyntpfactorytest
0x215eb	cst8xx_touch_report
0x215ff	cst3xx_touch_report
0x21613	hyn_input_dev_int
0x21625	pm_wakeup_dev_event
0x21639	input_event
0x21645	hyn_gesture_exit
0x21656	__mutex_init
0x21663	hyn_irq_init
0x21670	hyn_gesture_init
0x21681	hyn_update_firmware_init
0x2169a	hyn_ts_data_init
0x216ab	hyn_platform_data_init
0x216c2	memset
0x216c9	hyn_detect
0x216d4	tiny_tpgesture_status
0x216ea	hyn_gesture_mode_attrs
0x21701	____versions
0x2170e	input_set_abs_params
0x21723	i2c_transfer_buffer_flags
0x2173d	of_get_named_gpio_flags
0x21755	hyn_create_sysfs
0x21766	hyn_release_sysfs
0x21778	hyn_create_gesture_sysfs
0x21791	hyn_i2c_write_bytes
0x217a5	hyn_i2c_read_bytes
0x217b8	hyn_attributes
0x217c7	kmalloc_caches
0x217d6	_dev_err
0x217df	dev_attr_hyntpfwver
0x217f3	i2c_register_driver
0x21807	i2c_del_driver
0x21816	hynitron_i2c_driver
0x2182a	cst3xx_i2c_read_register
0x21843	hyn_eint_interrupt_handler
0x2185e	hyn_detect_bootloader
0x21874	gpiod_to_irq
0x21881	enable_irq
0x2188c	free_irq
0x21895	request_threaded_irq
0x218aa	sysfs_remove_group
0x218bd	hyn_attribute_group
