index	relocation_section	target_section	offset_hex	type	symbol	addend	info	symbol_value
409	.rela.text	.text	0x1640	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	4b5	0000009500000113	0000000000000000
410	.rela.text	.text	0x1644	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	4b5	0000009500000115	0000000000000000
411	.rela.text	.text	0x1658	R_AARCH64_CALL26	regmap_read	0	000000ba0000011b	0000000000000000
412	.rela.text	.text	0x1670	R_AARCH64_CALL26	_dev_err	0	0000009c0000011b	0000000000000000
413	.rela.text	.text	0x1684	R_AARCH64_CALL26	power_supply_changed	0	000000c00000011b	0000000000000000
414	.rela.text	.text	0x16b8	R_AARCH64_CALL26	__stack_chk_fail	0	000000aa0000011b	0000000000000000
415	.rela.text	.text	0x171c	R_AARCH64_CALL26	regmap_field_read	0	000000a00000011b	0000000000000000
416	.rela.text	.text	0x172c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	83c	0000009500000113	0000000000000000
417	.rela.text	.text	0x1730	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	83c	0000009500000115	0000000000000000
418	.rela.text	.text	0x173c	R_AARCH64_CALL26	_dev_err	0	0000009c0000011b	0000000000000000
419	.rela.text	.text	0x1744	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	6be	0000009500000113	0000000000000000
420	.rela.text	.text	0x1748	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	6be	0000009500000115	0000000000000000
421	.rela.text	.text	0x174c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	676	0000009500000113	0000000000000000
422	.rela.text	.text	0x1750	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	676	0000009500000115	0000000000000000
423	.rela.text	.text	0x1764	R_AARCH64_CALL26	_dev_info	0	000000ab0000011b	0000000000000000
424	.rela.text	.text	0x1798	R_AARCH64_CALL26	__stack_chk_fail	0	000000aa0000011b	0000000000000000
425	.rela.text	.text	0x180c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	457	0000009500000113	0000000000000000
426	.rela.text	.text	0x1810	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	457	0000009500000115	0000000000000000
427	.rela.text	.text	0x1814	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	396	0000009500000113	0000000000000000
428	.rela.text	.text	0x1818	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	396	0000009500000115	0000000000000000
429	.rela.text	.text	0x1820	R_AARCH64_CALL26	_dev_info	0	000000ab0000011b	0000000000000000
430	.rela.text	.text	0x183c	R_AARCH64_CALL26	regmap_field_update_bits_base	0	000000ac0000011b	0000000000000000
431	.rela.text	.text	0x1860	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	83c	0000009500000113	0000000000000000
